"REGIÃO
ASSISTENCIAL";MICRORREGIÃO;MUNICIPIO;RAMO_ATIVIDADE;NUM_CONTRATO;CPF_CNPJ;NOME;INICIO_VIGENCIA;FIM_VIGENCIA;PERIODO REFERENCIA
SUL;EXTREMA;EXTREMA;HOSPITAL/FUNDACAO;3192023;18191213000103;HOSPITAL MATERNIDADE SAO LUCAS DE EXTREMA LTDA;01/05/2023;30/04/2028;jul/26
NORDESTE;DIAMANTINA;DIAMANTINA;LABORATORIO;5572025;18647800000164;LABORATORIO OSWALDO CRUZ LTDA;01/08/2025;31/07/2030;jul/26
NORDESTE;DIAMANTINA;DIAMANTINA;HOSPITAL/FUNDACAO;7602024;20079166000152;SANTA CASA DE CARIDADE DE DIAMANTINA;03/09/2024;31/08/2029;jul/26
CENTRO;CURVELO;CURVELO;LABORATORIO;8922025;18074633000100;LABORATORIO DE MICROBIOLOGIA E ANALISES SABIN LTDA;03/09/2025;31/08/2030;jul/26
LESTE;GOVERNADOR VALADARES;CONSELHEIRO PENA;LABORATORIO;2082023;19918465000154;SOUTO E RAMOS LTDA;01/04/2023;31/03/2028;jul/26
CENTRO SUL;CONSELHEIRO LAFAIETE;CONSELHEIRO LAFAIETE;LABORATORIO;8132022;19141183000193;LABORATORIO DE ANALISES CLINICAS LAVOISIER LTDA;01/11/2022;31/10/2027;jul/26
SUDESTE;CATAGUASES;CATAGUASES;LABORATORIO;7672024;20341301000196;LABORATORIO FABIANO GUIMARAES LTDA;06/09/2024;28/02/2027;jul/26
OESTE;OLIVEIRA;BOM SUCESSO;HOSPITAL/FUNDACAO;4312024;18863985000144;SANTA CASA DE BOM SUCESSO;01/06/2024;30/11/2026;jul/26
NORTE;BOCAIUVA;BOCAIUVA;LABORATORIO;2292024;17043928000156;LABORATORIO DE ANALISES SANTA ROSA LTDA;11/03/2024;31/08/2026;jul/26
NORTE;BOCAIUVA;BOCAIUVA;LABORATORIO;7352024;21365192000100;LABORATORIO SANTA HELENA S/C LTDA;01/09/2024;28/02/2027;jul/26
SUDESTE;JUIZ DE FORA;BOM JARDIM DE MINAS;LABORATORIO;4732024;20420915000163;LABORATORIO DE ANALISES CLINICAS MARLIERE LTDA;06/06/2024;30/11/2026;jul/26
CENTRO SUL;BARBACENA;BARROSO;HOSPITAL/FUNDACAO;5362024;20305447000186;INSTITUTO NOSSA SENHORA DO CARMO;01/07/2024;31/12/2026;jul/26
CENTRO SUL;BARBACENA;BARBACENA;HOSPITAL/FUNDACAO;3182023;17089541000130;CLINICA MANTIQUEIRA LTDA;01/05/2023;30/04/2028;jul/26
SUL;ALFENAS;ALFENAS;LABORATORIO;6372024;21433693000186;LABORATORIO DE ANALISES CLINICAS LANDRE E DIOGO LTDA;17/07/2024;31/12/2026;jul/26
LESTE DO SUL;PONTE NOVA;ALVINOPOLIS;HOSPITAL/FUNDACAO;1992024;16718884000154;HOSPITAL NOSSA SENHORA DE LOURDES;04/03/2024;31/08/2026;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;8552025;21693445000174;SERMIG SERVICO DE RADIOLOGIA E ULTRA-SONOGRAFIA DE MINAS GERAIS LTDA;01/09/2025;31/08/2030;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;5662024;19170075000149;INSTITUTO DE RADIOTERAPIA SAO FRANCISCO LTDA;01/07/2024;31/12/2026;jul/26
CENTRO;BELO HORIZONTE;BELO HORIZONTE;CLINICA;3592025;20479077000101;CENTRO DE TOMOGRAFIA COMPUTADORIZADA DE MG LTDA;01/06/2025;31/05/2030;jul/26
NORTE;MONTES CLAROS;MONTES CLAROS;HOSPITAL/FUNDACAO;3462025;16920928000124;FUNDACAO HOSPITALAR DE MONTES CLAROS;01/06/2025;31/05/2030;jul/26
